Stock Name,Time Frame,Zone,Entry Price,Stop Loss,Legout Date,Validation Issue,Zone Perfection,Entry Date,Status,Diff,Qty,Tgt,Yahoo Symbol,Last Close Price,Highligh
INDHOTEL,2 HR,DZ,354.0,351.9,5/16/2023,All Ok Zone,Perfect Zone,,,2.1000000000000227,23.80952381,10.5,INDHOTEL.NS,774.35,
INDHOTEL,2 HR,DZ,622.6,619.0,7/22/2024,Legin TR Issue,Perfect Zone,,,3.6000000000000227,13.88888889,18.0,INDHOTEL.NS,774.35,
INDHOTEL,2 HR,DZ,727.8,723.9,7/15/2025,All OK Zone,Perfect Zone,,,3.8999999999999773,12.82051282,19.5,INDHOTEL.NS,774.35,Green
INDUSINDBK,2 HR,DZ,694.5,685.0,4/15/2025,Love at First sight missing,Perfect Zone,,,9.5,5.263157895,47.5,INDUSINDBK.NS,769.75,
INFY,2 HR,SZ,1479.0,1484.0,08-05-2025,All OK Zone,Perfect Zone,,,-5.0,-10.0,-25.0,INFY.NS,1447.7,
JINDALSTEL,2 HR,DZ,947.8,941.0,08-04-2025,All OK Zone,Perfect Zone,,,6.7999999999999545,7.352941176,34.0,JINDALSTEL.NS,975.4,
JIOFIN,2 HR,DZ,307.5,306.2,7/29/2025,All OK Zone,Perfect Zone,,,1.3000000000000114,38.46153846,6.5,JIOFIN.NS,327.4,
JSWENERGY,2 HR,DZ,481.0,477.4,6/20/2025,Minor Legin TR issue,Not Perfect,,,3.6000000000000227,13.88888889,18.0,JSWENERGY.NS,529.15,
JSWSTEEL,2 HR,DZ,887.0,880.0,1/14/2025,Legin Candle not gud,Doubt Zone,,,7.0,7.142857143,35.0,JSWSTEEL.NS,1045.5,
KALYANKJIL,2 HR,DZ,182.1,178.3,08-11-2023,All Ok Zone,Perfect Zone,,,3.799999999999983,13.15789474,19.0,KALYANKJIL.NS,533.5,
LODHA,2 HR,SZ,1322.0,1331.4,7/25/2025,1 HR MTF not OK,Perfect Zone,,,-9.400000000000091,-5.319148936,-47.0,LODHA.NS,1231.6,
LT,2 HR,DZ,2732.0,2724.0,09-07-2023,Candle behind Legin,Not Perfect,,,8.0,6.25,40.0,LT.NS,3677.0,
MARUTI,2 HR,DZ,10450.0,10395.0,02-06-2024,All Ok Zone,Perfect Zone,,,55.0,0.909090909,275.0,MARUTI.NS,12936.0,
MAXHEALTH,2 HR,DZ,1022.0,1013.0,3/19/2025,All OK Zone,Perfect Zone,,,9.0,5.555555556,45.0,MAXHEALTH.NS,1220.7,
MPHASIS,2 HR,SZ,2998.15,3022.3,1/30/2025,All OK Zone,Perfect Zone,,,-24.15000000000009,-2.070393375,-120.75,MPHASIS.NS,2720.2,
MPHASIS,2 HR,DZ,1932.0,1916.4,7/14/2023,1 HR MTF not OK,Doubt Zone,,,15.599999999999909,3.205128205,78.0,MPHASIS.NS,2720.2,
NTPC,2 HR,DZ,261.7,260.35,12-01-2023,All OK Zone,Perfect Zone,,,1.349999999999966,37.03703704,6.75,NTPC.NS,339.35,
OBEROIRLTY,2 HR,SZ,2122.1,2138.2,1/13/2025,All OK Zone,Perfect Zone,,,-16.09999999999991,-3.105590062,-80.5,OBEROIRLTY.NS,1619.2,
OIL,2 HR,DZ,184.5,183.45,9/27/2023,Love at first Sight Missing,Not Perfect,,,1.0500000000000114,47.61904762,5.25,OIL.NS,400.75,
ONGC,2 HR,SZ,282.4,285.3,10/21/2024,Candle behind Legin & Not gud pattern,Not Perfect,,,-2.900000000000034,-17.24137931,-14.5,ONGC.NS,236.94,
PERSISTENT,2 HR,SZ,5615.2,5669.2,7/24/2025,UOC Formation,Doubt Zone,,,-54.0,-0.925925926,-270.0,PERSISTENT.NS,5289.0,
PFC,2 HR,SZ,556.8,560.0,09-06-2024,All Ok Zone,Perfect Zone,,,-3.2000000000000455,-15.625,-16.0,PFC.NS,416.5,
PFC,2 HR,DZ,182.4,180.55,7/24/2023,Love at first Sight Missing,Perfect Zone,,,1.8499999999999943,27.02702703,9.25,PFC.NS,416.5,
POWERGRID,2 HR,SZ,295.0,296.8,7/30/2025,All Ok Zone,Perfect Zone,,,-1.8000000000000114,-27.77777778,-9.0,POWERGRID.NS,288.7,
RECLTD,2 HR,SZ,418.5,421.0,06-12-2025,Legin Formation Issue,Perfect Zone,,,-2.5,-20.0,-12.5,RECLTD.NS,381.55,
RECLTD,2 HR,SZ,605.8,609.9,09-09-2024,All Ok Zone,Perfect Zone,,,-4.100000000000023,-12.19512195,-20.5,RECLTD.NS,381.55,
